publisher_PublisherName,publisher_PublisherAddress,publisher_PublisherPhone
"Alfred A. Knopf","The Knopf Doubleday Group Domestic Rights, 1745 Broadway, New York, NY 10019",212-940-7390
Bantam,"375 Hudson Street, New York, NY 10014",212-366-2000
Bloomsbury,"Bloomsbury Publishing Inc., 1385 Broadway, 5th Floor, New York, NY 10018",212-419-5300
"Chalto & Windus","375 Hudson Street, New York, NY 10014",212-366-2000
"Chilton Books","Not Available","Not Available"
"DAW Books","375 Hudson Street, New York, NY 10014",212-366-2000
"George Allen & Unwin","83 Alexander Ln, Crows Nest NSW 2065, Australia",+61-2-8425-0100
"Harcourt Brace Jovanovich","3 Park Ave, New York, NY 10016",212-420-5800
"Harper and Row","HarperCollins Publishers, 195 Broadway, New York, NY 10007",212-207-7000
"Pan Books","175 Fifth Avenue, New York, NY 10010",646-307-5745
"Picador USA","175 Fifth Avenue, New York, NY 10010",646-307-5745
Scholastic,"557 Broadway, New York, NY 10012",800-724-6527
Shinchosa,"Oga Bldg. 8, 2-5-4 Sarugaku-cho, Chiyoda-ku, Tokyo 101-0064 Japan",+81-3-5577-6507
"Signet Books","375 Hudson Street, New York, NY 10014",212-366-2000
Viking,"375 Hudson Street, New York, NY 10014",212-366-2000
"W.W. Norton"," W. W. Norton & Company, Inc., 500 Fifth Avenue, New York, New York 10110",212-354-5500
